,ampds_card,hour,callsign,count,proportion
435,17,15,CC72,10,0.0862
436,17,15,H70,62,0.5345
437,17,15,H71,24,0.2069
438,17,16,CC70,12,0.1379
439,17,16,CC71,2,0.023
440,17,16,CC72,5,0.0575
441,17,16,H70,50,0.5747
442,17,16,H71,18,0.2069
443,17,17,CC70,13,0.1857
444,17,17,CC72,2,0.0286
445,17,17,H70,39,0.5571
446,17,17,H71,16,0.2286
447,17,18,CC70,7,0.1321
448,17,18,CC72,1,0.0189
449,17,18,H70,38,0.717
450,17,18,H71,7,0.1321
451,17,19,CC70,10,0.2222
452,17,19,CC71,1,0.0222
453,17,19,CC72,1,0.0222
454,17,19,H70,30,0.6667
455,17,19,H71,3,0.0667
456,17,20,CC70,13,0.2955
457,17,20,H70,30,0.6818
458,17,20,H71,1,0.0227
459,17,21,CC70,4,0.1538
460,17,21,H70,22,0.8462
461,17,22,CC70,8,0.3478
462,17,22,CC71,1,0.0435
463,17,22,H70,14,0.6087
464,17,23,CC70,9,0.3333
465,17,23,CC72,1,0.037
466,17,23,H70,16,0.5926
467,17,23,H71,1,0.037
468,21,0,CC70,1,0.3333
469,21,0,H70,2,0.6667
470,21,6,CC71,1,0.5
471,21,6,H70,1,0.5
472,21,7,H70,4,1.0
473,21,8,CC71,2,0.3333
474,21,8,H70,3,0.5
475,21,8,H71,1,0.1667
476,21,9,H70,1,0.25
477,21,9,H71,3,0.75
478,21,10,CC70,1,0.0909
479,21,10,CC72,1,0.0909
480,21,10,H70,6,0.5455
481,21,10,H71,3,0.2727
482,21,11,CC70,1,0.1
483,21,11,CC72,5,0.5
484,21,11,H70,3,0.3
485,21,11,H71,1,0.1
486,21,12,CC72,4,0.5
487,21,12,H70,3,0.375
488,21,12,H71,1,0.125
489,21,13,CC70,1,0.0625
490,21,13,CC71,2,0.125
491,21,13,CC72,2,0.125
492,21,13,H70,8,0.5
493,21,13,H71,3,0.1875
494,21,14,CC70,1,0.0909
495,21,14,CC72,3,0.2727
496,21,14,H70,4,0.3636
497,21,14,H71,3,0.2727
498,21,15,CC71,1,0.1111
499,21,15,CC72,2,0.2222
500,21,15,H70,6,0.6667
501,21,16,CC70,1,0.5
502,21,16,H70,1,0.5
503,21,17,CC70,1,0.125
504,21,17,H70,5,0.625
505,21,17,H71,2,0.25
506,21,18,H70,2,0.6667
507,21,18,H71,1,0.3333
508,21,19,CC70,2,0.3333
509,21,19,H70,4,0.6667
510,21,20,CC70,1,0.5
511,21,20,H70,1,0.5
512,21,21,CC70,1,0.5
513,21,21,H70,1,0.5
514,21,22,H70,1,1.0
515,21,23,CC70,2,0.6667
516,21,23,H70,1,0.3333
517,23,0,CC70,2,0.6667
518,23,0,H71,1,0.3333
519,23,1,CC70,2,1.0
520,23,4,H70,1,1.0
521,23,7,CC72,1,1.0
522,23,8,CC70,1,0.3333
523,23,8,CC72,1,0.3333
524,23,8,H70,1,0.3333
525,23,9,CC71,1,0.1429
526,23,9,CC72,2,0.2857
527,23,9,H70,3,0.4286
528,23,9,H71,1,0.1429
529,23,10,CC72,1,1.0
530,23,11,CC70,1,0.0625
531,23,11,CC72,2,0.125
532,23,11,H70,8,0.5
533,23,11,H71,5,0.3125
534,23,12,CC70,1,0.0667
535,23,12,CC71,2,0.1333
536,23,12,CC72,2,0.1333
537,23,12,H70,6,0.4
538,23,12,H71,4,0.2667
539,23,13,CC72,1,0.1
540,23,13,H70,3,0.3
541,23,13,H71,6,0.6
542,23,14,CC72,4,0.3333
543,23,14,H70,5,0.4167
544,23,14,H71,3,0.25
545,23,15,CC70,2,0.2
546,23,15,CC71,1,0.1
547,23,15,CC72,1,0.1
548,23,15,H70,4,0.4
549,23,15,H71,2,0.2
550,23,16,CC71,1,0.1429
551,23,16,H70,3,0.4286
552,23,16,H71,3,0.4286
553,23,17,CC70,2,0.2222
554,23,17,CC72,1,0.1111
555,23,17,H70,4,0.4444
556,23,17,H71,2,0.2222
557,23,18,CC70,3,0.3333
558,23,18,H70,5,0.5556
559,23,18,H71,1,0.1111
560,23,19,CC70,2,0.5
561,23,19,H70,2,0.5
562,23,20,CC70,2,0.3333
563,23,20,CC72,1,0.1667
564,23,20,H70,3,0.5
565,23,21,CC70,4,0.6667
566,23,21,CC72,1,0.1667
567,23,21,H70,1,0.1667
568,23,22,CC70,3,0.75
569,23,22,H70,1,0.25
570,23,23,CC70,3,0.4286
571,23,23,H70,4,0.5714
572,25,0,CC70,3,1.0
573,25,1,CC70,1,1.0
574,25,7,H70,2,0.6667
575,25,7,H71,1,0.3333
576,25,8,CC72,1,0.2
577,25,8,H70,4,0.8
